"user_name","text","rating.x","url_cleaned","rubbish.x","id.x","user_id","id.y","name","price","rating.y","review_count","city","state","zip_code","rubbish.y","latitude","longitude"
"Melissa A.","Great LIttle coffee shop hidden in Chinatown. Well, I'm not in this area much, so it's hidden for me!  :)

SOOOOO cute inside.  Another reviewer referred to...",5,"https://www.yelp.com/biz/dreamers-coffee-house-new-york","adjust_creative=SQ3SyM_wbzFDMvSqxv9K6A&hrid=1a0dBKh0-JJhrOqPB4uSCw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=SQ3SyM_wbzFDMvSqxv9K6A","dreamers-coffee-house-new-york","U20nmFu9R1F4OJ2P6v-f7Q","56xmEk-5aTHwBiPyQTzMKA","Dreamers Coffee House","NULL",5,21,"New York","NY","10002","adjust_creative=SQ3SyM_wbzFDMvSqxv9K6A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SQ3SyM_wbzFDMvSqxv9K6A",40.7127,-73.9953
"Amelia M.","Amazing service and cute shop! Had a dirty chai and loved it!! Pastries were coming out fresh as I arrived and a great assortment of classics and more...",5,"https://www.yelp.com/biz/poetica-coffee-new-york-2","adjust_creative=SQ3SyM_wbzFDMvSqxv9K6A&hrid=wW1W8xnv4O5hVHcZjruDlQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=SQ3SyM_wbzFDMvSqxv9K6A","poetica-coffee-new-york-2","lTWG-6gbtGpp3OGMk236FQ","c1Wk8bEK5GTuTTy5I9DA2g","Poetica Coffee","NULL",5,1,"New York","NY","11211","adjust_creative=SQ3SyM_wbzFDMvSqxv9K6A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SQ3SyM_wbzFDMvSqxv9K6A",40.7137,-73.9495
"Maggie Y.","Due to COVID, one guest is allowed in the cafe at a time to order, but there is plenty of seating right outside and along the pier. This is my go-to cafe...",5,"https://www.yelp.com/biz/kaigo-coffee-room-brooklyn-4","adjust_creative=SQ3SyM_wbzFDMvSqxv9K6A&hrid=FT81JN1aDUmb0t44I5VSYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=SQ3SyM_wbzFDMvSqxv9K6A","kaigo-coffee-room-brooklyn-4","MFwbJ-aRN3465KYGxq7M2w","OiCXI-fkb5nyYyfH3AxAOg","Kaigo Coffee Room","NULL",5,56,"Brooklyn","NY","11201","adjust_creative=SQ3SyM_wbzFDMvSqxv9K6A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SQ3SyM_wbzFDMvSqxv9K6A",40.6936,-74.001
"Mike C.","Another new maman just opened, a little further up Hudson from one of their other locations. Maman locations are always beautiful inside, and this one is no...",5,"https://www.yelp.com/biz/maman-new-york-13","adjust_creative=SQ3SyM_wbzFDMvSqxv9K6A&hrid=ENBR7GpR1WtQpwxqUr944A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=SQ3SyM_wbzFDMvSqxv9K6A","maman-new-york-13","37cpUoM8hlkSQfReIEBd-Q","iV3sxI7FFtaolxY68Mv14g","maman","NULL",5,2,"New York","NY","10014","adjust_creative=SQ3SyM_wbzFDMvSqxv9K6A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SQ3SyM_wbzFDMvSqxv9K6A",40.7285,-74.0078
"Melissa M.","I can't speak to their coffee yet, but I love their unique pastries! 

They've done an excellent job sourcing pastries that you don't often see in other...",5,"https://www.yelp.com/biz/nili-brooklyn","adjust_creative=SQ3SyM_wbzFDMvSqxv9K6A&hrid=G29YG7fMJGMMsR66QbhfDA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=SQ3SyM_wbzFDMvSqxv9K6A","nili-brooklyn","h6UlOSRiEMcDTZT7mSzoSA","KFWP2NUXIeu0G3fo90hRGw","Nili","NULL",5,10,"Brooklyn","NY","11231","adjust_creative=SQ3SyM_wbzFDMvSqxv9K6A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SQ3SyM_wbzFDMvSqxv9K6A",40.6793,-73.9958
"Nora R.","I am thrilled that Vineapple was able to reopen during Covid. The new menu is simply divine!  The choices are creative and the food is super fresh and...",5,"https://www.yelp.com/biz/vineapple-cafe-brooklyn","adjust_creative=SQ3SyM_wbzFDMvSqxv9K6A&hrid=p6mLV4zKfbKKVvs_XQWdOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=SQ3SyM_wbzFDMvSqxv9K6A","vineapple-cafe-brooklyn","uQktbrfadsVcJVLtn_PaMg","xxiV3-0t_gO1Ojo3xo73TQ","Vineapple Cafe","$",5,23,"Brooklyn","NY","11201","adjust_creative=SQ3SyM_wbzFDMvSqxv9K6A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SQ3SyM_wbzFDMvSqxv9K6A",40.6983,-73.9931
"Kristie P.","Ordered from here a few times and loveeeee it. They make really good authentic Colombian goods, arepas, empanadas and my favorite pan de bono. Delivery has...",5,"https://www.yelp.com/biz/salento-colombian-coffee-and-kitchen-new-york","adjust_creative=SQ3SyM_wbzFDMvSqxv9K6A&hrid=PiZ6zwZjkDkqSqQM47RWSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=SQ3SyM_wbzFDMvSqxv9K6A","salento-colombian-coffee-and-kitchen-new-york","67dMuYkCbiAZZlUK3D4bGA","Bw9b6vDTKXAOg7c3bcR9PA","Salento Colombian Coffee & Kitchen","NULL",5,35,"New York","NY","10032","adjust_creative=SQ3SyM_wbzFDMvSqxv9K6A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SQ3SyM_wbzFDMvSqxv9K6A",40.8379,-73.9386
"Brian I.","Love this coffee spot!  Warm and friendly. Owners Martin and Cindy are wonderful. Open windows provide  sense of good ventilation during COVID.",5,"https://www.yelp.com/biz/urban-backyard-new-york","adjust_creative=SQ3SyM_wbzFDMvSqxv9K6A&hrid=O9bSTAaKC4OFIfHMAY-BGg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=SQ3SyM_wbzFDMvSqxv9K6A","urban-backyard-new-york","de2fDH73zJ645pmGUTQTMw","HUlbrPvAr6sXuBfp5z1MWA","Urban Backyard","$$",5,163,"New York","NY","10012","adjust_creative=SQ3SyM_wbzFDMvSqxv9K6A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SQ3SyM_wbzFDMvSqxv9K6A",40.7208,-73.9965
"Rebekah W.","Every time I come here I'm amazed that they have so many options. Fear not, the staff here at Periscope know exactly what to suggest. From classics such as...",5,"https://www.yelp.com/biz/periscope-coffee-on-john-street-new-york-4","adjust_creative=SQ3SyM_wbzFDMvSqxv9K6A&hrid=CuLkEazMqAdJMybayn0lhQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=SQ3SyM_wbzFDMvSqxv9K6A","periscope-coffee-on-john-street-new-york-4","maYc8h-rfuxQIQmsy-yUUA","sc9tpUeQ9kaA8Ya3K_lHSw","Periscope Coffee on John Street","NULL",5,5,"New York","NY","10005","adjust_creative=SQ3SyM_wbzFDMvSqxv9K6A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SQ3SyM_wbzFDMvSqxv9K6A",40.7064,-74.0047
"Zihao Z.","Tucked away in an alleyway is this fantastic coffee shop filled with interesting drinks. I ordered the Military Latte (Matcha + Espresso) and it was one of...",5,"https://www.yelp.com/biz/sawada-coffee-new-york","adjust_creative=SQ3SyM_wbzFDMvSqxv9K6A&hrid=sPlpOVPp4kK36uiZVJNGng&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=SQ3SyM_wbzFDMvSqxv9K6A","sawada-coffee-new-york","PIod8AWncrQYwmLHnKjWcQ","GmO-vuYIlKO8MexarMmlUA","Sawada Coffee","$$",5,38,"New York","NY","10013","adjust_creative=SQ3SyM_wbzFDMvSqxv9K6A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SQ3SyM_wbzFDMvSqxv9K6A",40.718,-74.0019
