"word1","word2","n"
"oat","milk",15
"cold","brew",14
"outdoor","seating",13
"friendly","service",10
"friendly","staff",8
"favorite","coffee",7
"chai","latte",6
"hidden","gem",5
"local","coffee",5
"almond","milk",4
"amazing","coffee",4
"food","options",4
"iced","oat",4
"love","love",4
"matcha","latte",4
"milk","latte",4
"neighborhood","coffee",4
"oat","latte",4
"quality","coffee",4
"social","distancing",4
"5","5",3
"bluestone","lane",3
"bubble","tea",3
"cutest","coffee",3
"delicious","coffee",3
"delicious","fresh",3
"ice","cream",3
"iced","coffee",3
"iced","latte",3
"menu","items",3
"morning","coffee",3
"pleasantly","surprised",3
"quick","bite",3
"reasonable","prices",3
"safety","precautions",3
"soft","serve",3
"sunday","morning",3
"super","cute",3
"super","friendly",3
"super","nice",3
