"word","freq"
"11am",2
"2020",4
"3",3
"30",3
"3rd",2
"4",3
"4.5",2
"6",2
"7",2
"absolute",2
"absolutely",13
"access",2
"accident",3
"accommodating",2
"acidic",2
"acknowledged",2
"actual",3
"add",2
"addition",2
"admit",2
"adorable",3
"aesthetic",2
"affordable",4
"afternoon",3
"ago",5
"ahead",5
"airy",2
"aka",2
"allowed",2
"almond",8
"alternative",2
"amazed",2
"amazing",43
"amazingly",2
"ambiance",9
"americano",2
"amidst",2
"amount",2
"app",3
"apple",3
"apples",2
"arrived",3
"art",3
"astoria",6
"atmosphere",16
"australian",2
"authentic",4
"ave",2
"avocado",6
"awesome",16
"baby",2
"backyard",3
"bacon",2
"bad",2
"bag",2
"bagel",9
"bagels",5
"bags",2
"baguette",2
"baked",10
"bakery",15
"banana",5
"bar",11
"barista",12
"baristas",8
"based",5
"batch",2
"bean",3
"beans",3
"beautiful",7
"beautifully",2
"beets",2
"beginning",2
"beverages",3
"birthday",2
"biscuit",2
"bit",11
"bite",6
"black",5
"blend",2
"blends",2
"block",5
"blocks",4
"blown",2
"bluestone",3
"board",2
"bono",2
"book",2
"books",3
"bowls",3
"boyfriend",5
"brazilian",2
"bread",9
"breads",4
"breakfast",27
"brew",18
"brooklyn",13
"brother",2
"brûlée",2
"brunch",13
"bubble",3
"building",2
"bun",6
"burger",2
"bushwick",3
"business",12
"businesses",2
"busy",8
"butter",4
"buttermilk",2
"buunni",2
"buy",6
"buying",2
"café",5
"cafes",3
"caffeinated",3
"caffeine",4
"cake",14
"cakes",4
"call",4
"called",3
"cappuccino",6
"cardamom",2
"care",2
"carry",2
"cash",2
"cat",2
"catch",2
"cauliflower",2
"central",3
"chai",13
"chain",4
"changing",2
"charming",4
"cheap",2
"check",4
"checked",2
"checks",2
"cheese",11
"chef",4
"chelsea",3
"chic",2
"chicken",9
"chill",4
"chilly",2
"chinatown",2
"chip",2
"chocolate",12
"choices",5
"choose",2
"cindy",2
"cinnamon",4
"city",12
"class",2
"classic",3
"classics",2
"clean",7
"clients",2
"close",5
"closed",7
"club",2
"coast",2
"coconut",2
"coffees",8
"cold",24
"colorful",2
"comfortable",2
"coming",18
"community",2
"company",5
"computer",2
"conscious",3
"consistent",4
"consistently",5
"convenient",2
"cookie",7
"cookies",11
"cool",6
"corner",3
"cortado",2
"counter",5
"couple",5
"covered",5
"covid19",2
"cozy",10
"craving",3
"crazy",2
"cream",7
"creation",2
"creative",2
"credit",2
"crepe",2
"crew",4
"croissant",10
"croissants",2
"cruller",2
"cuisine",2
"culture",2
"cup",18
"cupcakes",2
"cups",5
"curry",2
"customer",5
"customers",2
"cute",32
"cutest",3
"daily",4
"dairy",4
"day",29
"days",2
"daytime",2
"de",4
"deal",4
"decadent",2
"decent",2
"decided",13
"decor",6
"decorated",2
"degrees",2
"dekalb",2
"delicious",51
"delish",4
"deliver",3
"delivery",21
"desert",2
"deserves",2
"dessert",2
"desserts",5
"die",3
"difficult",2
"dining",5
"dinner",3
"dirty",2
"disappoint",2
"disappointed",6
"discover",2
"discovered",5
"distancing",4
"district",2
"divine",4
"dog",2
"donut",4
"door",6
"doughnut",2
"doughnuts",4
"downtown",2
"dream",2
"drink",21
"drinks",20
"drip",3
"due",11
"east",9
"easy",9
"eat",8
"eaten",2
"eating",2
"eats",2
"egg",8
"eggs",2
"empanadas",2
"empty",2
"energy",2
"enjoy",4
"enjoyed",8
"entire",3
"entrance",2
"espresso",16
"establishment",3
"european",2
"excellent",20
"exceptional",5
"exceptionally",2
"excited",3
"existed",2
"expect",2
"experience",11
"extra",3
"extremely",3
"family",7
"fan",2
"fantastic",8
"farm",2
"fast",8
"favorite",27
"favorites",3
"feel",10
"fell",2
"filled",4
"finally",9
"fine",2
"flaky",2
"flavor",7
"flavorful",4
"flavors",3
"focaccia",5
"focus",2
"folks",4
"follow",2
"food",57
"fort",2
"forward",3
"found",16
"free",8
"french",9
"frequent",2
"fresh",21
"friday",2
"friend",14
"friendly",47
"friends",9
"front",2
"fun",4
"games",3
"garage",2
"garment",2
"gem",14
"generous",3
"ginger",2
"girl",2
"glad",13
"glass",2
"gluten",2
"goodies",2
"gorgeous",2
"gotta",2
"grab",9
"grand",2
"grateful",2
"greek",5
"greeted",3
"grubhub",2
"guest",2
"guy",3
"guys",2
"half",2
"ham",3
"handfuls",2
"hands",8
"hang",4
"happened",5
"happy",19
"hard",3
"harlem",3
"hazelnut",2
"healthy",6
"hear",3
"heard",3
"hearing",2
"heart",3
"hearty",3
"heaters",2
"heaven",2
"heights",2
"helpful",10
"helps",2
"hidden",10
"highlight",2
"highly",2
"hip",3
"hit",2
"hold",2
"holidays",2
"home",7
"homemade",3
"honestly",4
"honey",4
"hospitality",2
"hot",12
"hotel",5
"hour",6
"hours",4
"house",5
"huge",4
"husband",4
"ice",5
"iced",18
"idea",2
"immediately",3
"impossible",2
"impressed",7
"including",3
"incredible",8
"indoor",9
"indulgent",2
"infamous",2
"ingredients",2
"inside",19
"instagram",3
"interior",8
"intimate",2
"inviting",3
"inwood",2
"ish",2
"issue",2
"italy",3
"items",14
"jalapeño",2
"japanese",5
"job",3
"joe",2
"juices",2
"kava",4
"kinda",5
"kinds",2
"kuih",2
"la",2
"lady",4
"lane",4
"laptop",2
"late",5
"latte",45
"lattes",7
"le",2
"leave",4
"legit",2
"lic",3
"life",6
"light",3
"lighting",2
"limited",4
"line",9
"list",2
"literally",7
"live",6
"lived",4
"lively",3
"loaf",2
"local",16
"located",3
"location",24
"locations",3
"lol",2
"looked",3
"lot",7
"lots",8
"loud",2
"love",74
"loved",9
"lovely",13
"lover",2
"low",2
"lower",2
"lox",2
"lucky",5
"lunch",6
"magnificent",3
"makes",5
"maman",3
"manhattan",6
"maple",3
"marinated",2
"market",3
"matcha",13
"meal",2
"meals",2
"measures",2
"meeting",2
"menu",21
"met",3
"mexican",2
"mid",3
"middle",4
"midst",2
"midtown",3
"milk",30
"milks",2
"mine",2
"minimize",2
"minutes",4
"miss",6
"mobile",2
"mocha",3
"moment",2
"monday",2
"months",5
"mood",5
"morning",15
"mother",2
"moved",9
"music",4
"mustard",2
"naturally",2
"nearby",3
"neighborhood",40
"nice",32
"nicely",2
